"city","room_type"
"Asheville","Entire home/apt"
"Austin","Entire home/apt"
"Boston","Entire home/apt"
"Broward County","Entire home/apt"
"Cambridge","Private room"
"Chicago","Entire home/apt"
"Clark County","Entire home/apt"
"Columbus","Entire home/apt"
"Denver","Entire home/apt"
"Hawaii","Entire home/apt"
"Jersey City","Entire home/apt"
"Los Angeles","Entire home/apt"
"Nashville","Entire home/apt"
"New Orleans","Entire home/apt"
"New York City","Entire home/apt"
"Oakland","Entire home/apt"
"Pacific Grove","Entire home/apt"
"Portland","Entire home/apt"
"Rhode Island","Entire home/apt"
"Salem","Entire home/apt"
"San Clara Country","Private room"
"San Diego","Entire home/apt"
"San Francisco","Entire home/apt"
"San Mateo County","Entire home/apt"
"Santa Cruz County","Entire home/apt"
"Seattle","Entire home/apt"
"Twin Cities MSA","Entire home/apt"
"Washington D.C.","Entire home/apt"
